Category_1,Subscribers,Authentic engagement,Engagement average,Engagement Rate
accessories & jewellery,49000000.0,42000.0,55700.0,0.08571428571428572
adult content,12014285.714285715,175414.2857142857,240342.85714285713,1.8881085024194277
beauty,20591176.470588237,508147.0588235294,643879.4117647059,3.530778655480354
business & careers,13225000.0,917075.0,1125200.0,9.795296842322639
cars & motorbikes,22260000.0,105220.0,147800.0,0.6623083364838422
cinema & actors/actresses,26684033.61344538,530997.8991596638,698659.243697479,3.143344610619532
clothing & outfits,70940000.0,462400.0,620900.0,1.7286441143044002
computers & gadgets,19837500.0,495387.5,568950.0,2.9158087998747653
education,7000000.0,379000.0,555500.0,5.414285714285715
family,17546153.846153848,373800.0,533107.6923076923,3.3270082320847627
fashion,105550000.0,847025.0,1212775.0,1.6946940752566118
finance & economics,44980000.0,539780.0,630660.0,1.1552052115938691
fitness & gym,32393750.0,242812.5,359937.5,1.7944380185569904
food & cooking,27150000.0,283875.0,387300.0,1.8130608449375225
humor & fun & happiness,21789473.684210528,230389.47368421053,361473.6842105263,1.8374742134863151
kids & toys,14200000.0,335300.0,420700.0,2.361267605633803
lifestyle,15659154.929577464,677011.9718309859,880416.1971830986,7.0120141636997255
literature & journalism,22633333.333333332,203300.0,337077.77777777775,1.95916652513
luxury,32200000.000000004,83800.0,115600.0,0.2602484472049689
modeling,24889130.43478261,393015.2173913043,560084.7826086957,2.4955261338310644
nature & landscapes,130750000.0,90800.0,116800.0,0.23808550508631543
photography,69366666.66666667,398166.6666666667,603322.2222222222,7.832382350788027
racing sports,13628571.42857143,334514.28571428574,444742.85714285716,3.342713593404898
science,49050000.0,474550.0,571300.0,0.9568393650891306
shows,20024390.243902437,348002.43902439025,461260.9756097561,3.7635310695245066
sports with a ball,39830630.63063063,388854.95495495497,555930.6306306307,1.6801544371617032
travel,8400000.0,254100.0,294600.0,3.025
unknown,25268067.226890758,840742.43697479,1079749.1596638656,5.997803773412311
winter sports,7700000.0,284600.0,459900.0,3.696103896103896
