Audience country,Subscribers,Engagement Rate,High Engagement,Influencer Count
albania,10400000.0,2.2028846153846153,0.0,1
algeria,9200000.0,2.244565217391304,1.0,1
argentina,16960869.56521739,4.166052476916254,0.6086956521739131,23
brazil,27864335.664335664,2.7711524526626916,0.3706293706293706,143
chile,14500000.0,0.7958620689655173,0.0,1
china,30000000.0,4.0,1.0,1
colombia,17828571.42857143,2.4721189595460626,0.42857142857142855,7
egypt,23300000.0,0.8842063257301267,0.0,6
france,27416666.666666668,4.937101302948812,0.5,6
germany,25166666.666666668,1.766411635523155,0.3333333333333333,3
india,33711585.36585366,3.706293627551392,0.4695121951219512,164
indonesia,19148571.42857143,7.792637749319965,0.7571428571428571,140
iran,11795000.0,6.712877798026544,0.6,20
iraq,16980000.0,1.6988174808139038,0.2,5
italy,18862500.0,2.9805797071665294,0.4375,16
japan,6300000.0,8.92953447518665,1.0,3
mexico,18952777.777777776,5.006126536228032,0.7222222222222222,36
morocco,8800000.0,3.0494059405940592,1.0,2
nigeria,13300000.0,1.3558114035087718,0.0,2
pakistan,6000000.0,6.006666666666667,1.0,1
philippines,12337500.0,5.6597695013182605,0.5,8
poland,29400000.0,2.872108843537415,1.0,1
romania,4700000.0,6.617021276595744,1.0,1
russia,17114285.714285713,1.83785770951995,0.35714285714285715,14
serbia,11300000.0,1.856637168141593,0.0,1
south korea,18076470.588235293,14.966575523550073,1.0,17
spain,25870967.741935484,1.943515261346029,0.3548387096774194,31
syria,9300000.0,3.546236559139785,1.0,1
thailand,9225000.0,6.608843111485074,0.5,4
turkey,17387500.0,4.149754526881093,0.5625,16
united arab emirates,14700000.0,1.5040816326530613,0.0,1
united kingdom,19827777.777777776,3.3049366486226925,0.4444444444444444,18
united states,34290625.0,2.9743242993454984,0.4166666666666667,288
yemen,7500000.0,22.666666666666664,1.0,1
