Audience country,Subscribers,Engagement average,Engagement Rate,Influencer Count
albania,10400000.0,330800.0,2.2028846153846153,1
algeria,9200000.0,266000.0,2.244565217391304,1
argentina,16960869.56521739,639865.2173913043,4.166052476916254,23
brazil,27864335.664335664,606384.6153846154,2.7711524526626916,143
chile,14500000.0,190500.0,0.7958620689655173,1
china,30000000.0,1400000.0,4.0,1
colombia,17828571.42857143,365914.28571428574,2.4721189595460626,7
egypt,23300000.0,279500.0,0.8842063257301267,6
france,27416666.666666668,681433.3333333334,4.937101302948812,6
germany,25166666.666666668,233933.33333333334,1.766411635523155,3
india,33711585.36585366,715256.0975609756,3.706293627551392,164
indonesia,19148571.42857143,1035872.1428571428,7.792637749319965,140
iran,11795000.0,592780.0,6.712877798026544,20
iraq,16980000.0,232200.0,1.6988174808139038,5
italy,18862500.0,441156.25,2.9805797071665294,16
japan,6300000.0,516600.0,8.92953447518665,3
mexico,18952777.777777776,921319.4444444445,5.006126536228032,36
morocco,8800000.0,366450.0,3.0494059405940592,2
nigeria,13300000.0,358500.0,1.3558114035087718,2
pakistan,6000000.0,413200.0,6.006666666666667,1
philippines,12337500.0,554350.0,5.6597695013182605,8
poland,29400000.0,1100000.0,2.872108843537415,1
romania,4700000.0,506800.0,6.617021276595744,1
russia,17114285.714285713,397250.0,1.83785770951995,14
serbia,11300000.0,258399.99999999997,1.856637168141593,1
south korea,18076470.588235293,3290094.117647059,14.966575523550073,17
spain,25870967.741935484,421667.7419354839,1.943515261346029,31
syria,9300000.0,405200.0,3.546236559139785,1
thailand,9225000.0,446950.0,6.608843111485074,4
turkey,17387500.0,682737.5,4.149754526881093,16
united arab emirates,14700000.0,289900.0,1.5040816326530613,1
united kingdom,19827777.777777776,423988.8888888889,3.3049366486226925,18
united states,34290625.0,726644.7916666666,2.9743242993454984,288
yemen,7500000.0,2000000.0,22.666666666666664,1
